,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,45743.0,860728353101,1,962115590011.0,30998842025,47362.0,45666.0,-1140.751685463263,-2.43317,-19641896253.171387,-2.23109,18787031.0,21000000.0,21000000.0,64805.0,-29.03533,2021-04-14T11:54:46.763Z,67.81,67720.58162,2013-07-06T00:00:00.000Z,,2021-08-15T17:17:35.503Z
1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,3121.19,366798349050,2,,20981771353,3288.26,3129.82,-139.723464830625,-4.2848,-15149319740.680298,-3.96633,117117826.749,,,4356.99,-27.60217,2021-05-12T14:41:48.623Z,0.432979,728426.71045,2015-10-20T00:00:00.000Z,"{'times': 90.01908173950366, 'currency': 'btc', 'percentage': 9001.908173950367}",2021-08-15T17:17:27.449Z
2,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,2.09,67029894511,3,94065630404.0,5510554951,2.24,2.07,-0.087580302831,-4.02921,-2939477823.8291626,-4.20109,32066390668.4135,45000000000.0,45000000000.0,2.45,-14.06287,2021-05-16T07:44:28.033Z,0.01925275,10815.71392,2020-03-13T02:22:55.044Z,,2021-08-15T17:17:40.053Z
3,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,0.998656,63513275346,4,,59238744848,1.01,0.991489,-0.002397928671,-0.23954,3074147.0,0.00484,63598735031.2064,63598735031.2064,,1.32,-24.2289,2018-07-24T00:00:00.000Z,0.572521,75.10692,2015-03-02T00:00:00.000Z,,2021-08-15T17:06:28.787Z
4,binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,399.64,61919521687,5,68330502951.0,1485253788,410.61,397.11,-7.922832657425,-1.94396,-1164188965.0673904,-1.84547,154533651.9,170533651.9,170533651.9,686.31,-41.38159,2021-05-10T07:24:17.097Z,0.0398177,1010259.79075,2017-10-19T00:00:00.000Z,,2021-08-15T17:17:57.680Z
5,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,1.25,58083031904,6,125131467913.0,11688501044,1.34,1.2,0.02712091,2.22149,873808668.0,1.52739,46417606117.0,100000000000.0,100000000000.0,3.4,-63.02998,2018-01-07T00:00:00.000Z,0.00268621,46672.56665,2014-05-22T00:00:00.000Z,,2021-08-15T17:17:22.990Z
6,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.300655,39430975883,7,,4364128486,0.310053,0.284944,0.0126763,4.40181,1705309839.0,4.52029,130868317235.563,,,0.731578,-58.58354,2021-05-08T05:08:23.458Z,8.69e-05,348554.35137,2015-05-06T00:00:00.000Z,,2021-08-15T17:17:28.251Z
7,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,0.998774,27591084676,8,,2003140359,1.0,0.994164,-0.001436588632,-0.14363,-151069756.03139496,-0.54455,27616753862.8376,27618793090.6576,,1.17,-14.78333,2019-05-08T00:40:28.300Z,0.891848,12.05285,2021-05-19T13:14:05.611Z,,2021-08-15T17:17:32.358Z
8,polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,21.93,22442367353,9,,846894374,23.32,21.91,-0.644012594387,-2.85279,-597444736.7835922,-2.5931,1021233244.78142,1101881656.69537,,49.35,-55.32395,2021-05-15T03:59:58.961Z,2.7,717.33234,2020-08-20T05:48:11.359Z,,2021-08-15T17:18:05.383Z
9,uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,28.45,14870134132,10,28604256613.0,380102776,30.36,28.53,-1.388601286744,-4.65338,-602640877.4114685,-3.89485,519857388.1320768,1000000000.0,1000000000.0,44.92,-36.12811,2021-05-03T05:25:04.822Z,1.03,2684.97628,2020-09-17T01:20:38.214Z,,2021-08-15T17:17:52.800Z
